Table_ref,Collection_Year,Unit,Indicator,Value
1,2010,Number,Samples_examined_all_ages,3415423
1,2010,Number,Samples_examined_20to64,3381120
1,2010,Number,Samples_examined_25to64,3289856
1,2010,%,Samples_inadequate_20to64,2.8253064073443100
1,2010,%,Samples_inadequate_25to64,2.8290295988639000
1,2010,%,Samples_inadequate_all_ages,2.8388284555090200
1,2010,%,Women_high_grade_20to64,1.3888238837469000
1,2010,Number,Women_high_grade_20to64,45697
1,2010,%,Women_high_grade_25to64,1.3485704670522100
1,2010,Number,Women_high_grade_25to64,43599
1,2010,Number,Women_invited_20to64,4123731
1,2010,Number,Women_invited_25to64,4069386
1,2010,%,Women_low_grade_20to64,6.0693764591965900
1,2010,Number,Women_low_grade_20to64,199703
1,2010,%,Women_low_grade_25to64,5.8757882435982400
1,2010,Number,Women_low_grade_25to64,189963
1,2010,Number,Women_tested_20to64,3327235
1,2010,Number,Women_tested_25to64,3272167
1,2011,Number,Samples_examined_all_ages,3439597
1,2011,Number,Samples_examined_20to64,3405608
1,2011,Number,Samples_examined_25to64,3337248
1,2011,%,Samples_inadequate_20to64,2.7310248272848800
1,2011,%,Samples_inadequate_25to64,2.7359069508768900
1,2011,%,Samples_inadequate_all_ages,2.7433155686552800
1,2011,%,Women_high_grade_20to64,1.2413343232416800
1,2011,Number,Women_high_grade_20to64,41599
1,2011,%,Women_high_grade_25to64,1.2135820424412400
1,2011,Number,Women_high_grade_25to64,40178
1,2011,Number,Women_invited_20to64,4380786
1,2011,Number,Women_invited_25to64,4328471
1,2011,%,Women_low_grade_20to64,5.5500914312451400
1,2011,Number,Women_low_grade_20to64,185992
1,2011,%,Women_low_grade_25to64,5.4094079943939300
1,2011,Number,Women_low_grade_25to64,179089
1,2011,Number,Women_tested_20to64,3389167
1,2011,Number,Women_tested_25to64,3351127
1,2012,Number,Samples_examined_all_ages,3632183
1,2012,Number,Samples_examined_20to64,3602284
1,2012,Number,Samples_examined_25to64,3542755
1,2012,%,Samples_inadequate_20to64,2.3976454938033800
1,2012,%,Samples_inadequate_25to64,2.3993474005399800
1,2012,%,Samples_inadequate_all_ages,2.4042566137223800
1,2012,%,Women_high_grade_20to64,1.2063666004369800
1,2012,Number,Women_high_grade_20to64,42890
