Table_ref,Collection_Year,Unit,Indicator,Value
2,2019-20,Number,Cease_Age_20to24,0
2,2019-20,Number,Cease_Age_25to29,0
2,2019-20,Number,Cease_Age_30to34,0
2,2019-20,Number,Cease_Age_35to39,0
2,2019-20,Number,Cease_Age_40to44,0
2,2019-20,Number,Cease_Age_45to49,0
2,2019-20,Number,Cease_Age_50to54,0
2,2019-20,Number,Cease_Age_55to59,1
2,2019-20,Number,Cease_Age_60to64,686444
2,2019-20,Number,Cease_Age_65to69,1079975
2,2019-20,Number,Cease_Age_70to74,1047752
2,2019-20,Number,Cease_Age_75to79,726526
2,2019-20,Number,Cease_Age_<20,0
2,2019-20,Number,Cease_Age_>=80,930641
2,2019-20,Number,Cease_Clinical_20to24,225
2,2019-20,Number,Cease_Clinical_25to29,1353
2,2019-20,Number,Cease_Clinical_30to34,3351
2,2019-20,Number,Cease_Clinical_35to39,9043
2,2019-20,Number,Cease_Clinical_40to44,21697
2,2019-20,Number,Cease_Clinical_45to49,60265
2,2019-20,Number,Cease_Clinical_50to54,126445
2,2019-20,Number,Cease_Clinical_55to59,188871
2,2019-20,Number,Cease_Clinical_60to64,229339
2,2019-20,Number,Cease_Clinical_65to69,268923
2,2019-20,Number,Cease_Clinical_70to74,328060
2,2019-20,Number,Cease_Clinical_75to79,247741
2,2019-20,Number,Cease_Clinical_<20,32
2,2019-20,Number,Cease_Clinical_>=80,284543
2,2019-20,Number,Cease_Other_20to24,25
2,2019-20,Number,Cease_Other_25to29,2296
2,2019-20,Number,Cease_Other_30to34,5306
2,2019-20,Number,Cease_Other_35to39,7910
2,2019-20,Number,Cease_Other_40to44,9345
2,2019-20,Number,Cease_Other_45to49,12030
2,2019-20,Number,Cease_Other_50to54,16035
2,2019-20,Number,Cease_Other_55to59,20181
2,2019-20,Number,Cease_Other_60to64,47626
2,2019-20,Number,Cease_Other_65to69,65457
2,2019-20,Number,Cease_Other_70to74,69857
2,2019-20,Number,Cease_Other_75to79,76992
2,2019-20,Number,Cease_Other_<20,1
2,2019-20,Number,Cease_Other_>=80,364824
2,2019-20,Number,Eligible_20to24,1945295
2,2019-20,Number,Eligible_25to29,2190263
2,2019-20,Number,Eligible_30to34,2278758
2,2019-20,Number,Eligible_35to39,2134172
2,2019-20,Number,Eligible_40to44,1880346
2,2019-20,Number,Eligible_45to49,1894118
2,2019-20,Number,Eligible_50to54,1914960
2,2019-20,Number,Eligible_55to59,1764038
2,2019-20,Number,Eligible_60to64,1423208
2,2019-20,Number,Eligible_65to69,1190111
2,2019-20,Number,Eligible_70to74,1149443
2,2019-20,Number,Eligible_75to79,831664
2,2019-20,Number,Eligible_<20,6661146
2,2019-20,Number,Eligible_>=80,1414594
2,2019-20,Number,Resident_20to24,1945520
2,2019-20,Number,Resident_25to29,2191616
2,2019-20,Number,Resident_30to34,2282109
2,2019-20,Number,Resident_35to39,2143215
2,2019-20,Number,Resident_40to44,1902043
2,2019-20,Number,Resident_45to49,1954383
2,2019-20,Number,Resident_50to54,2041405
2,2019-20,Number,Resident_55to59,1952909
2,2019-20,Number,Resident_60to64,1652547
2,2019-20,Number,Resident_65to69,1459034
2,2019-20,Number,Resident_70to74,1477503
2,2019-20,Number,Resident_75to79,1079405
2,2019-20,Number,Resident_<20,6661178
2,2019-20,Number,Resident_>=80,1699137
2,2019-20,Number,Tested_<3.5yrs_20to24,35221
2,2019-20,Number,Tested_<3.5yrs_25to29,1353579
2,2019-20,Number,Tested_<3.5yrs_30to34,1587867
2,2019-20,Number,Tested_<3.5yrs_35to39,1537915
2,2019-20,Number,Tested_<3.5yrs_40to44,1393659
2,2019-20,Number,Tested_<3.5yrs_45to49,1415114
2,2019-20,Number,Tested_<3.5yrs_50to54,1319721
2,2019-20,Number,Tested_<3.5yrs_55to59,892976
2,2019-20,Number,Tested_<3.5yrs_60to64,682252
2,2019-20,Number,Tested_<3.5yrs_65to69,220006
2,2019-20,Number,Tested_<3.5yrs_70to74,6297
2,2019-20,Number,Tested_<3.5yrs_75to79,1238
2,2019-20,Number,Tested_<3.5yrs_<20,107
2,2019-20,Number,Tested_<3.5yrs_>=80,417
2,2019-20,Number,Tested_<5_yrs_20to24,36280
2,2019-20,Number,Tested_<5_yrs_25to29,1407787
2,2019-20,Number,Tested_<5_yrs_30to34,1717850
2,2019-20,Number,Tested_<5_yrs_35to39,1661683
2,2019-20,Number,Tested_<5_yrs_40to44,1496531
2,2019-20,Number,Tested_<5_yrs_45to49,1517339
2,2019-20,Number,Tested_<5_yrs_50to54,1502793
2,2019-20,Number,Tested_<5_yrs_55to59,1271306
2,2019-20,Number,Tested_<5_yrs_60to64,980008
2,2019-20,Number,Tested_<5_yrs_65to69,455791
2,2019-20,Number,Tested_<5_yrs_70to74,13289
2,2019-20,Number,Tested_<5_yrs_75to79,2297
2,2019-20,Number,Tested_<5_yrs_<20,109
2,2019-20,Number,Tested_<5_yrs_>=80,828
