Table_ref,Collection_Year,Unit,Indicator,Value
15,2019-20,Number,Borderline_changes_20-24,2604
15,2019-20,Number,Borderline_changes_25-29,11444
15,2019-20,Number,Borderline_changes_30-34,9187
15,2019-20,Number,Borderline_changes_35-39,6522
15,2019-20,Number,Borderline_changes_40-44,5154
15,2019-20,Number,Borderline_changes_45-49,4982
15,2019-20,Number,Borderline_changes_50-54,3253
15,2019-20,Number,Borderline_changes_55-59,2240
15,2019-20,Number,Borderline_changes_60-64,1243
15,2019-20,Number,Borderline_changes_65-69,122
15,2019-20,Number,Borderline_changes_70-74,21
15,2019-20,Number,Borderline_changes_<20,1
15,2019-20,Number,Borderline_changes_>=75,4
15,2019-20,Number,Glandular_neoplasia_20-24,11
15,2019-20,Number,Glandular_neoplasia_25-29,153
15,2019-20,Number,Glandular_neoplasia_30-34,323
15,2019-20,Number,Glandular_neoplasia_35-39,201
15,2019-20,Number,Glandular_neoplasia_40-44,119
15,2019-20,Number,Glandular_neoplasia_45-49,107
15,2019-20,Number,Glandular_neoplasia_50-54,48
15,2019-20,Number,Glandular_neoplasia_55-59,36
15,2019-20,Number,Glandular_neoplasia_60-64,26
15,2019-20,Number,Glandular_neoplasia_65-69,1
15,2019-20,Number,Glandular_neoplasia_70-74,0
15,2019-20,Number,Glandular_neoplasia_<20,0
15,2019-20,Number,Glandular_neoplasia_>=75,0
15,2019-20,Number,Inadequate_20-24,1268
15,2019-20,Number,Inadequate_25-29,5591
15,2019-20,Number,Inadequate_30-34,5735
15,2019-20,Number,Inadequate_35-39,5406
15,2019-20,Number,Inadequate_40-44,4516
15,2019-20,Number,Inadequate_45-49,4629
15,2019-20,Number,Inadequate_50-54,3671
15,2019-20,Number,Inadequate_55-59,4665
15,2019-20,Number,Inadequate_60-64,3445
15,2019-20,Number,Inadequate_65-69,194
15,2019-20,Number,Inadequate_70-74,10
15,2019-20,Number,Inadequate_<20,0
15,2019-20,Number,Inadequate_>=75,7
15,2019-20,Number,Low_Grade_dyskaryosis_20-24,4913
15,2019-20,Number,Low_Grade_dyskaryosis_25-29,18632
15,2019-20,Number,Low_Grade_dyskaryosis_30-34,12459
15,2019-20,Number,Low_Grade_dyskaryosis_35-39,7900
15,2019-20,Number,Low_Grade_dyskaryosis_40-44,5804
15,2019-20,Number,Low_Grade_dyskaryosis_45-49,5303
15,2019-20,Number,Low_Grade_dyskaryosis_50-54,3399
15,2019-20,Number,Low_Grade_dyskaryosis_55-59,2183
15,2019-20,Number,Low_Grade_dyskaryosis_60-64,1131
15,2019-20,Number,Low_Grade_dyskaryosis_65-69,181
15,2019-20,Number,Low_Grade_dyskaryosis_70-74,28
15,2019-20,Number,Low_Grade_dyskaryosis_<20,3
15,2019-20,Number,Low_Grade_dyskaryosis_>=75,5
15,2019-20,Number,Moderate_dyskaryosis_20-24,741
15,2019-20,Number,Moderate_dyskaryosis_25-29,4125
15,2019-20,Number,Moderate_dyskaryosis_30-34,3583
15,2019-20,Number,Moderate_dyskaryosis_35-39,2081
15,2019-20,Number,Moderate_dyskaryosis_40-44,1226
15,2019-20,Number,Moderate_dyskaryosis_45-49,913
15,2019-20,Number,Moderate_dyskaryosis_50-54,558
15,2019-20,Number,Moderate_dyskaryosis_55-59,408
15,2019-20,Number,Moderate_dyskaryosis_60-64,263
15,2019-20,Number,Moderate_dyskaryosis_65-69,38
15,2019-20,Number,Moderate_dyskaryosis_70-74,2
15,2019-20,Number,Moderate_dyskaryosis_<20,1
15,2019-20,Number,Moderate_dyskaryosis_>=75,0
15,2019-20,Number,Negative_20-24,99111
15,2019-20,Number,Negative_25-29,420767
15,2019-20,Number,Negative_30-34,468797
15,2019-20,Number,Negative_35-39,447224
15,2019-20,Number,Negative_40-44,396804
15,2019-20,Number,Negative_45-49,408205
15,2019-20,Number,Negative_50-54,285021
15,2019-20,Number,Negative_55-59,249662
15,2019-20,Number,Negative_60-64,180281
15,2019-20,Number,Negative_65-69,6887
15,2019-20,Number,Negative_70-74,575
15,2019-20,Number,Negative_<20,71
15,2019-20,Number,Negative_>=75,159
15,2019-20,Number,Severe_dyskaryosis_20-24,669
15,2019-20,Number,Severe_dyskaryosis_25-29,4060
15,2019-20,Number,Severe_dyskaryosis_30-34,4210
15,2019-20,Number,Severe_dyskaryosis_35-39,2358
15,2019-20,Number,Severe_dyskaryosis_40-44,1327
15,2019-20,Number,Severe_dyskaryosis_45-49,934
15,2019-20,Number,Severe_dyskaryosis_50-54,538
15,2019-20,Number,Severe_dyskaryosis_55-59,477
15,2019-20,Number,Severe_dyskaryosis_60-64,254
15,2019-20,Number,Severe_dyskaryosis_65-69,28
15,2019-20,Number,Severe_dyskaryosis_70-74,3
15,2019-20,Number,Severe_dyskaryosis_<20,0
15,2019-20,Number,Severe_dyskaryosis_>=75,2
15,2019-20,Number,Severe_dyskaryosis_Inv_20-24,7
15,2019-20,Number,Severe_dyskaryosis_Inv_25-29,66
15,2019-20,Number,Severe_dyskaryosis_Inv_30-34,93
15,2019-20,Number,Severe_dyskaryosis_Inv_35-39,89
15,2019-20,Number,Severe_dyskaryosis_Inv_40-44,58
15,2019-20,Number,Severe_dyskaryosis_Inv_45-49,40
15,2019-20,Number,Severe_dyskaryosis_Inv_50-54,35
15,2019-20,Number,Severe_dyskaryosis_Inv_55-59,35
15,2019-20,Number,Severe_dyskaryosis_Inv_60-64,26
15,2019-20,Number,Severe_dyskaryosis_Inv_65-69,5
15,2019-20,Number,Severe_dyskaryosis_Inv_70-74,1
15,2019-20,Number,Severe_dyskaryosis_Inv_<20,0
15,2019-20,Number,Severe_dyskaryosis_Inv_>=75,1
