Table_ref,Collection_Year,Unit,Indicator,Value
3a,2019-20,%,Called_Never_Attend_20to24,15.82867305
3a,2019-20,%,Called_Never_Attend_25to29,35.01448246
3a,2019-20,%,Called_Never_Attend_25to64,11.60783902
3a,2019-20,%,Called_Never_Attend_30to34,18.15456667
3a,2019-20,%,Called_Never_Attend_35to39,11.14241922
3a,2019-20,%,Called_Never_Attend_40to44,7.519388363
3a,2019-20,%,Called_Never_Attend_45to49,5.190436061
3a,2019-20,%,Called_Never_Attend_50to54,3.943656452
3a,2019-20,%,Called_Never_Attend_55to59,3.448752604
3a,2019-20,%,Called_Never_Attend_60to64,3.533575747
3a,2019-20,%,Called_Never_Attend_65to69,3.235154218
3a,2019-20,%,Called_Never_Attend_70to74,3.190247329
3a,2019-20,%,Called_Never_Attend_75to79,3.808857658
3a,2019-20,%,Called_Never_Attend_<20,4.50371E-05
3a,2019-20,%,Called_Never_Attend_>=80,7.464554065
3a,2019-20,%,Called_Never_Attend_All_Ages,8.019994347
3a,2019-20,%,Called_No_Cyt_20to24,82.25435873
3a,2019-20,%,Called_No_Cyt_25to29,0.153995955
3a,2019-20,%,Called_No_Cyt_25to64,0.034497033
3a,2019-20,%,Called_No_Cyt_30to34,0.046272987
3a,2019-20,%,Called_No_Cyt_35to39,0.021276447
3a,2019-20,%,Called_No_Cyt_40to44,0.012723161
3a,2019-20,%,Called_No_Cyt_45to49,0.009056567
3a,2019-20,%,Called_No_Cyt_50to54,0.004457714
3a,2019-20,%,Called_No_Cyt_55to59,0.003430779
3a,2019-20,%,Called_No_Cyt_60to64,0.005869727
3a,2019-20,%,Called_No_Cyt_65to69,0.726987856
3a,2019-20,%,Called_No_Cyt_70to74,1.315259597
3a,2019-20,%,Called_No_Cyt_75to79,2.22631913
3a,2019-20,%,Called_No_Cyt_<20,99.99777817
3a,2019-20,%,Called_No_Cyt_>=80,6.867309699
3a,2019-20,%,Called_No_Cyt_All_Ages,27.7170386
3a,2019-20,%,Called_Not_Adeq_20to24,0.01485464
3a,2019-20,%,Called_Not_Adeq_25to29,0.25624927
3a,2019-20,%,Called_Not_Adeq_25to64,0.148819244
