Table_ref,Collection_Year,Unit,Indicator,Value
7,2019-20,Number,Tests_Abnormality_Borderline_changes_All_ages,215
7,2019-20,Number,Tests_Abnormality_Glandular_neoplasia_All_ages,3
7,2019-20,Number,Tests_Abnormality_Inadequate_All_ages,57
7,2019-20,Number,Tests_Abnormality_Low_Grade_dyskaryosis_All_ages,222
7,2019-20,Number,Tests_Abnormality_Moderate_dyskaryosis_All_ages,49
7,2019-20,Number,Tests_Abnormality_Negative_All_ages,3779
7,2019-20,Number,Tests_Abnormality_Severe_dyskaryosis_All_ages,78
7,2019-20,Number,Tests_Abnormality_Severe_dyskaryosis_Inv_All_ages,10
7,2019-20,Number,Tests_Call_Borderline_changes_All_ages,7832
7,2019-20,Number,Tests_Call_Glandular_neoplasia_All_ages,109
7,2019-20,Number,Tests_Call_Inadequate_All_ages,4711
7,2019-20,Number,Tests_Call_Low_Grade_dyskaryosis_All_ages,13428
7,2019-20,Number,Tests_Call_Moderate_dyskaryosis_All_ages,2471
7,2019-20,Number,Tests_Call_Negative_All_ages,313229
7,2019-20,Number,Tests_Call_Severe_dyskaryosis_All_ages,3021
7,2019-20,Number,Tests_Call_Severe_dyskaryosis_Inv_All_ages,110
7,2019-20,Number,Tests_Ceased_Borderline_changes_All_ages,261
7,2019-20,Number,Tests_Ceased_Glandular_neoplasia_All_ages,1
7,2019-20,Number,Tests_Ceased_Inadequate_All_ages,658
7,2019-20,Number,Tests_Ceased_Low_Grade_dyskaryosis_All_ages,190
7,2019-20,Number,Tests_Ceased_Moderate_dyskaryosis_All_ages,31
7,2019-20,Number,Tests_Ceased_Negative_All_ages,29239
7,2019-20,Number,Tests_Ceased_Severe_dyskaryosis_All_ages,61
7,2019-20,Number,Tests_Ceased_Severe_dyskaryosis_Inv_All_ages,16
7,2019-20,Number,Tests_Inadequate_Borderline_changes_All_ages,1156
7,2019-20,Number,Tests_Inadequate_Glandular_neoplasia_All_ages,22
7,2019-20,Number,Tests_Inadequate_Inadequate_All_ages,4614
7,2019-20,Number,Tests_Inadequate_Low_Grade_dyskaryosis_All_ages,1071
7,2019-20,Number,Tests_Inadequate_Moderate_dyskaryosis_All_ages,211
7,2019-20,Number,Tests_Inadequate_Negative_All_ages,60542
7,2019-20,Number,Tests_Inadequate_Severe_dyskaryosis_All_ages,215
7,2019-20,Number,Tests_Inadequate_Severe_dyskaryosis_Inv_All_ages,8
7,2019-20,Number,Tests_Outside_Programme_Borderline_changes_All_ages,8261
7,2019-20,Number,Tests_Outside_Programme_Glandular_neoplasia_All_ages,195
7,2019-20,Number,Tests_Outside_Programme_Inadequate_All_ages,8466
7,2019-20,Number,Tests_Outside_Programme_Low_Grade_dyskaryosis_All_ages,10447
7,2019-20,Number,Tests_Outside_Programme_Moderate_dyskaryosis_All_ages,2369
7,2019-20,Number,Tests_Outside_Programme_Negative_All_ages,496103
7,2019-20,Number,Tests_Outside_Programme_Severe_dyskaryosis_All_ages,3066
7,2019-20,Number,Tests_Outside_Programme_Severe_dyskaryosis_Inv_All_ages,195
7,2019-20,Number,Tests_Recall_Borderline_changes_All_ages,22819
7,2019-20,Number,Tests_Recall_Glandular_neoplasia_All_ages,565
7,2019-20,Number,Tests_Recall_Inadequate_All_ages,25463
7,2019-20,Number,Tests_Recall_Low_Grade_dyskaryosis_All_ages,25146
7,2019-20,Number,Tests_Recall_Moderate_dyskaryosis_All_ages,5475
7,2019-20,Number,Tests_Recall_Negative_All_ages,1908127
7,2019-20,Number,Tests_Recall_Severe_dyskaryosis_All_ages,6045
7,2019-20,Number,Tests_Recall_Severe_dyskaryosis_Inv_All_ages,133
7,2019-20,Number,Tests_Surveillance_Borderline_changes_All_ages,4655
7,2019-20,Number,Tests_Surveillance_Glandular_neoplasia_All_ages,107
7,2019-20,Number,Tests_Surveillance_Inadequate_All_ages,2366
7,2019-20,Number,Tests_Surveillance_Low_Grade_dyskaryosis_All_ages,5592
7,2019-20,Number,Tests_Surveillance_Moderate_dyskaryosis_All_ages,1265
7,2019-20,Number,Tests_Surveillance_Negative_All_ages,152872
7,2019-20,Number,Tests_Surveillance_Severe_dyskaryosis_All_ages,1067
7,2019-20,Number,Tests_Surveillance_Severe_dyskaryosis_Inv_All_ages,25
7,2019-20,Number,Tests_Suspended_Borderline_changes_All_ages,8752
7,2019-20,Number,Tests_Suspended_Glandular_neoplasia_All_ages,156
7,2019-20,Number,Tests_Suspended_Inadequate_All_ages,2389
7,2019-20,Number,Tests_Suspended_Low_Grade_dyskaryosis_All_ages,17728
7,2019-20,Number,Tests_Suspended_Moderate_dyskaryosis_All_ages,4124
7,2019-20,Number,Tests_Suspended_Negative_All_ages,120740
7,2019-20,Number,Tests_Suspended_Severe_dyskaryosis_All_ages,3254
7,2019-20,Number,Tests_Suspended_Severe_dyskaryosis_Inv_All_ages,119
