Table_ref,Collection_Year,Unit,Indicator,Value
6,2019-20,Number,Tested_Abnormality_Borderline_changes_25to64,173
6,2019-20,Number,Tested_Abnormality_Glandular_neoplasia_25to64,2
6,2019-20,Number,Tested_Abnormality_Inadequate_25to64,51
6,2019-20,Number,Tested_Abnormality_Low_Grade_dyskaryosis_25to64,180
6,2019-20,Number,Tested_Abnormality_Moderate_dyskaryosis_25to64,38
6,2019-20,Number,Tested_Abnormality_Negative_25to64,2957
6,2019-20,Number,Tested_Abnormality_Severe_dyskaryosis_25to64,71
6,2019-20,Number,Tested_Abnormality_Severe_dyskaryosis_Inv_25to64,9
6,2019-20,Number,Tested_Call_Borderline_changes_25to64,7254
6,2019-20,Number,Tested_Call_Glandular_neoplasia_25to64,107
6,2019-20,Number,Tested_Call_Inadequate_25to64,4482
6,2019-20,Number,Tested_Call_Low_Grade_dyskaryosis_25to64,12059
6,2019-20,Number,Tested_Call_Moderate_dyskaryosis_25to64,2277
6,2019-20,Number,Tested_Call_Negative_25to64,286816
6,2019-20,Number,Tested_Call_Severe_dyskaryosis_25to64,2862
6,2019-20,Number,Tested_Call_Severe_dyskaryosis_Inv_25to64,109
6,2019-20,Number,Tested_Ceased_Borderline_changes_25to64,181
6,2019-20,Number,Tested_Ceased_Glandular_neoplasia_25to64,0
6,2019-20,Number,Tested_Ceased_Inadequate_25to64,473
6,2019-20,Number,Tested_Ceased_Low_Grade_dyskaryosis_25to64,154
6,2019-20,Number,Tested_Ceased_Moderate_dyskaryosis_25to64,26
6,2019-20,Number,Tested_Ceased_Negative_25to64,22895
6,2019-20,Number,Tested_Ceased_Severe_dyskaryosis_25to64,47
6,2019-20,Number,Tested_Ceased_Severe_dyskaryosis_Inv_25to64,10
6,2019-20,Number,Tested_Inadequate_Borderline_changes_25to64,667
6,2019-20,Number,Tested_Inadequate_Glandular_neoplasia_25to64,11
6,2019-20,Number,Tested_Inadequate_Inadequate_25to64,2912
6,2019-20,Number,Tested_Inadequate_Low_Grade_dyskaryosis_25to64,592
6,2019-20,Number,Tested_Inadequate_Moderate_dyskaryosis_25to64,120
6,2019-20,Number,Tested_Inadequate_Negative_25to64,35689
6,2019-20,Number,Tested_Inadequate_Severe_dyskaryosis_25to64,127
6,2019-20,Number,Tested_Inadequate_Severe_dyskaryosis_Inv_25to64,8
6,2019-20,Number,Tested_Outside_Programme_Borderline_changes_25to64,8025
6,2019-20,Number,Tested_Outside_Programme_Glandular_neoplasia_25to64,193
6,2019-20,Number,Tested_Outside_Programme_Inadequate_25to64,8248
6,2019-20,Number,Tested_Outside_Programme_Low_Grade_dyskaryosis_25to64,10096
6,2019-20,Number,Tested_Outside_Programme_Moderate_dyskaryosis_25to64,2327
6,2019-20,Number,Tested_Outside_Programme_Negative_25to64,488981
6,2019-20,Number,Tested_Outside_Programme_Severe_dyskaryosis_25to64,3039
6,2019-20,Number,Tested_Outside_Programme_Severe_dyskaryosis_Inv_25to64,192
6,2019-20,Number,Tested_Recall_Borderline_changes_25to64,22764
6,2019-20,Number,Tested_Recall_Glandular_neoplasia_25to64,564
6,2019-20,Number,Tested_Recall_Inadequate_25to64,25302
6,2019-20,Number,Tested_Recall_Low_Grade_dyskaryosis_25to64,25097
6,2019-20,Number,Tested_Recall_Moderate_dyskaryosis_25to64,5462
6,2019-20,Number,Tested_Recall_Negative_25to64,1900419
6,2019-20,Number,Tested_Recall_Severe_dyskaryosis_25to64,6037
6,2019-20,Number,Tested_Recall_Severe_dyskaryosis_Inv_25to64,131
6,2019-20,Number,Tested_Surveillance_Borderline_changes_25to64,4506
6,2019-20,Number,Tested_Surveillance_Glandular_neoplasia_25to64,104
6,2019-20,Number,Tested_Surveillance_Inadequate_25to64,2293
6,2019-20,Number,Tested_Surveillance_Low_Grade_dyskaryosis_25to64,5425
6,2019-20,Number,Tested_Surveillance_Moderate_dyskaryosis_25to64,1233
6,2019-20,Number,Tested_Surveillance_Negative_25to64,149059
6,2019-20,Number,Tested_Surveillance_Severe_dyskaryosis_25to64,1048
6,2019-20,Number,Tested_Surveillance_Severe_dyskaryosis_Inv_25to64,25
6,2019-20,Number,Tested_Suspended_Borderline_changes_25to64,7960
6,2019-20,Number,Tested_Suspended_Glandular_neoplasia_25to64,147
6,2019-20,Number,Tested_Suspended_Inadequate_25to64,2101
6,2019-20,Number,Tested_Suspended_Low_Grade_dyskaryosis_25to64,15941
6,2019-20,Number,Tested_Suspended_Moderate_dyskaryosis_25to64,3656
6,2019-20,Number,Tested_Suspended_Negative_25to64,109181
6,2019-20,Number,Tested_Suspended_Severe_dyskaryosis_25to64,2851
6,2019-20,Number,Tested_Suspended_Severe_dyskaryosis_Inv_25to64,95
