Table_ref,Collection_Year,Unit,Indicator,Value
4,2019-20,Number,Invited_Abnormality_20to24,317
4,2019-20,Number,Invited_Abnormality_25to29,33798
4,2019-20,Number,Invited_Abnormality_30to34,35659
4,2019-20,Number,Invited_Abnormality_35to39,23345
4,2019-20,Number,Invited_Abnormality_40to44,15597
4,2019-20,Number,Invited_Abnormality_45to49,13116
4,2019-20,Number,Invited_Abnormality_50to54,10446
4,2019-20,Number,Invited_Abnormality_55to59,6299
4,2019-20,Number,Invited_Abnormality_60to64,3948
4,2019-20,Number,Invited_Abnormality_65to69,1741
4,2019-20,Number,Invited_Abnormality_70to74,477
4,2019-20,Number,Invited_Abnormality_<20,7
4,2019-20,Number,Invited_Abnormality_>=75,257
4,2019-20,Number,Invited_Call_20to24,198827
4,2019-20,Number,Invited_Call_25to29,492822
4,2019-20,Number,Invited_Call_30to34,221814
4,2019-20,Number,Invited_Call_35to39,110800
4,2019-20,Number,Invited_Call_40to44,68785
4,2019-20,Number,Invited_Call_45to49,45610
4,2019-20,Number,Invited_Call_50to54,28054
4,2019-20,Number,Invited_Call_55to59,20008
4,2019-20,Number,Invited_Call_60to64,8149
4,2019-20,Number,Invited_Call_65to69,373
4,2019-20,Number,Invited_Call_70to74,98
4,2019-20,Number,Invited_Call_<20,0
4,2019-20,Number,Invited_Call_>=75,74
4,2019-20,Number,Invited_Inadequate_20to24,70
4,2019-20,Number,Invited_Inadequate_25to29,6941
4,2019-20,Number,Invited_Inadequate_30to34,9440
4,2019-20,Number,Invited_Inadequate_35to39,10752
4,2019-20,Number,Invited_Inadequate_40to44,10149
4,2019-20,Number,Invited_Inadequate_45to49,10574
4,2019-20,Number,Invited_Inadequate_50to54,10771
4,2019-20,Number,Invited_Inadequate_55to59,10000
4,2019-20,Number,Invited_Inadequate_60to64,8690
4,2019-20,Number,Invited_Inadequate_65to69,4444
4,2019-20,Number,Invited_Inadequate_70to74,1369
4,2019-20,Number,Invited_Inadequate_<20,2
4,2019-20,Number,Invited_Inadequate_>=75,490
4,2019-20,Number,Invited_Recall_20to24,159
4,2019-20,Number,Invited_Recall_25to29,229370
4,2019-20,Number,Invited_Recall_30to34,477817
4,2019-20,Number,Invited_Recall_35to39,517479
4,2019-20,Number,Invited_Recall_40to44,482611
4,2019-20,Number,Invited_Recall_45to49,508592
4,2019-20,Number,Invited_Recall_50to54,373221
4,2019-20,Number,Invited_Recall_55to59,331898
4,2019-20,Number,Invited_Recall_60to64,184854
4,2019-20,Number,Invited_Recall_65to69,7931
4,2019-20,Number,Invited_Recall_70to74,1171
4,2019-20,Number,Invited_Recall_<20,0
4,2019-20,Number,Invited_Recall_>=75,1098
4,2019-20,Number,Invited_Surveillance_20to24,653
4,2019-20,Number,Invited_Surveillance_25to29,35288
4,2019-20,Number,Invited_Surveillance_30to34,62380
4,2019-20,Number,Invited_Surveillance_35to39,57859
4,2019-20,Number,Invited_Surveillance_40to44,45167
4,2019-20,Number,Invited_Surveillance_45to49,39530
4,2019-20,Number,Invited_Surveillance_50to54,32728
4,2019-20,Number,Invited_Surveillance_55to59,22668
4,2019-20,Number,Invited_Surveillance_60to64,14769
4,2019-20,Number,Invited_Surveillance_65to69,7259
4,2019-20,Number,Invited_Surveillance_70to74,2702
4,2019-20,Number,Invited_Surveillance_<20,7
4,2019-20,Number,Invited_Surveillance_>=75,1171
