Table_ref,Collection_Year,Unit,Indicator,Value
5,2019-20,Number,Tested_Abnormality_20to24,18
5,2019-20,Number,Tested_Abnormality_25to29,393
5,2019-20,Number,Tested_Abnormality_30to34,685
5,2019-20,Number,Tested_Abnormality_35to39,727
5,2019-20,Number,Tested_Abnormality_40to44,515
5,2019-20,Number,Tested_Abnormality_45to49,469
5,2019-20,Number,Tested_Abnormality_50to54,367
5,2019-20,Number,Tested_Abnormality_55to59,205
5,2019-20,Number,Tested_Abnormality_60to64,120
5,2019-20,Number,Tested_Abnormality_65to69,44
5,2019-20,Number,Tested_Abnormality_70to74,11
5,2019-20,Number,Tested_Abnormality_<20,1
5,2019-20,Number,Tested_Abnormality_>=75,4
5,2019-20,Number,Tested_Call_20to24,28792
5,2019-20,Number,Tested_Call_25to29,222940
5,2019-20,Number,Tested_Call_30to34,42196
5,2019-20,Number,Tested_Call_35to39,21920
5,2019-20,Number,Tested_Call_40to44,12567
5,2019-20,Number,Tested_Call_45to49,7516
5,2019-20,Number,Tested_Call_50to54,4477
5,2019-20,Number,Tested_Call_55to59,2771
5,2019-20,Number,Tested_Call_60to64,1579
5,2019-20,Number,Tested_Call_65to69,120
5,2019-20,Number,Tested_Call_70to74,6
5,2019-20,Number,Tested_Call_<20,0
5,2019-20,Number,Tested_Call_>=75,0
5,2019-20,Number,Tested_Ceased_20to24,0
5,2019-20,Number,Tested_Ceased_25to29,83
5,2019-20,Number,Tested_Ceased_30to34,298
5,2019-20,Number,Tested_Ceased_35to39,346
5,2019-20,Number,Tested_Ceased_40to44,347
5,2019-20,Number,Tested_Ceased_45to49,299
5,2019-20,Number,Tested_Ceased_50to54,313
5,2019-20,Number,Tested_Ceased_55to59,277
5,2019-20,Number,Tested_Ceased_60to64,21823
5,2019-20,Number,Tested_Ceased_65to69,6005
5,2019-20,Number,Tested_Ceased_70to74,396
5,2019-20,Number,Tested_Ceased_<20,0
5,2019-20,Number,Tested_Ceased_>=75,177
5,2019-20,Number,Tested_Inadequate_20to24,22
5,2019-20,Number,Tested_Inadequate_25to29,4730
5,2019-20,Number,Tested_Inadequate_30to34,5776
5,2019-20,Number,Tested_Inadequate_35to39,6306
5,2019-20,Number,Tested_Inadequate_40to44,5557
5,2019-20,Number,Tested_Inadequate_45to49,5416
5,2019-20,Number,Tested_Inadequate_50to54,4923
5,2019-20,Number,Tested_Inadequate_55to59,4107
5,2019-20,Number,Tested_Inadequate_60to64,3312
5,2019-20,Number,Tested_Inadequate_65to69,848
5,2019-20,Number,Tested_Inadequate_70to74,56
5,2019-20,Number,Tested_Inadequate_<20,0
5,2019-20,Number,Tested_Inadequate_>=75,7
5,2019-20,Number,Tested_Outside_Programme_20to24,2964
5,2019-20,Number,Tested_Outside_Programme_25to29,94323
5,2019-20,Number,Tested_Outside_Programme_30to34,87295
5,2019-20,Number,Tested_Outside_Programme_35to39,77486
5,2019-20,Number,Tested_Outside_Programme_40to44,67240
5,2019-20,Number,Tested_Outside_Programme_45to49,66544
5,2019-20,Number,Tested_Outside_Programme_50to54,61114
5,2019-20,Number,Tested_Outside_Programme_55to59,46578
5,2019-20,Number,Tested_Outside_Programme_60to64,20520
5,2019-20,Number,Tested_Outside_Programme_65to69,1051
5,2019-20,Number,Tested_Outside_Programme_70to74,104
5,2019-20,Number,Tested_Outside_Programme_<20,59
5,2019-20,Number,Tested_Outside_Programme_>=75,55
5,2019-20,Number,Tested_Recall_20to24,15
5,2019-20,Number,Tested_Recall_25to29,149296
5,2019-20,Number,Tested_Recall_30to34,297057
5,2019-20,Number,Tested_Recall_35to39,329046
5,2019-20,Number,Tested_Recall_40to44,307155
5,2019-20,Number,Tested_Recall_45to49,324090
5,2019-20,Number,Tested_Recall_50to54,243619
5,2019-20,Number,Tested_Recall_55to59,199752
5,2019-20,Number,Tested_Recall_60to64,135761
5,2019-20,Number,Tested_Recall_65to69,7676
5,2019-20,Number,Tested_Recall_70to74,131
5,2019-20,Number,Tested_Recall_<20,0
5,2019-20,Number,Tested_Recall_>=75,16
5,2019-20,Number,Tested_Surveillance_20to24,239
5,2019-20,Number,Tested_Surveillance_25to29,21002
5,2019-20,Number,Tested_Surveillance_30to34,38000
5,2019-20,Number,Tested_Surveillance_35to39,33060
5,2019-20,Number,Tested_Surveillance_40to44,24177
5,2019-20,Number,Tested_Surveillance_45to49,19364
5,2019-20,Number,Tested_Surveillance_50to54,14683
5,2019-20,Number,Tested_Surveillance_55to59,8591
5,2019-20,Number,Tested_Surveillance_60to64,4817
5,2019-20,Number,Tested_Surveillance_65to69,1563
5,2019-20,Number,Tested_Surveillance_70to74,289
5,2019-20,Number,Tested_Surveillance_<20,1
5,2019-20,Number,Tested_Surveillance_>=75,71
5,2019-20,Number,Tested_Suspended_20to24,416
5,2019-20,Number,Tested_Suspended_25to29,34584
5,2019-20,Number,Tested_Suspended_30to34,38129
5,2019-20,Number,Tested_Suspended_35to39,23114
5,2019-20,Number,Tested_Suspended_40to44,14786
5,2019-20,Number,Tested_Suspended_45to49,12146
5,2019-20,Number,Tested_Suspended_50to54,9669
5,2019-20,Number,Tested_Suspended_55to59,5833
5,2019-20,Number,Tested_Suspended_60to64,3671
5,2019-20,Number,Tested_Suspended_65to69,1466
5,2019-20,Number,Tested_Suspended_70to74,256
5,2019-20,Number,Tested_Suspended_<20,2
5,2019-20,Number,Tested_Suspended_>=75,78
